"symbol";"sector"
"ENSG";"Health Care"
"SPSC";"Information Technology"
"RMBS";"Information Technology"
"AIT";"Industrials"
"ASO";"Consumer Discretionary"
"ATI";"Materials"
"FIX";"Industrials"
"ELF";"Consumer Staples"
"MTH";"Consumer Discretionary"
"ABG";"Consumer Discretionary"
"MMSI";"Health Care"
"AJRD";"Industrials"
"ACLS";"Information Technology"
"NSIT";"Information Technology"
"BCPC";"Materials"
"AAON";"Industrials"
"LTHM";"Materials"
"ONTO";"Information Technology"
"DIOD";"Information Technology"
"MLI";"Industrials"
"HP";"Energy"
"CIVI";"Energy"
"AMN";"Health Care"
"RDN";"Financials"
"SM";"Energy"
"FUL";"Materials"
"SIG";"Consumer Discretionary"
"FN";"Information Technology"
"BMI";"Information Technology"
"CYTK";"Health Care"
"FELE";"Industrials"
"EPRT";"Real Estate"
"OI";"Materials"
"JBT";"Industrials"
"CNMD";"Health Care"
"AEIS";"Information Technology"
"GPI";"Consumer Discretionary"
"AWR";"Utilities"
"TWNK";"Consumer Staples"
"SANM";"Information Technology"
"AGO";"Financials"
"AVA";"Utilities"
"HI";"Industrials"
"CWT";"Utilities"
"FSS";"Industrials"
"UCBI";"Financials"
"WIRE";"Industrials"
"GNW";"Financials"
"PBH";"Health Care"
"ROG";"Information Technology"
"OTTR";"Utilities"
"COOP";"Financials"
"SMPL";"Consumer Staples"
"SPXC";"Industrials"
"CCOI";"Communication Services"
"SEM";"Health Care"
"FWRD";"Industrials"
"ACA";"Industrials"
"LCII";"Consumer Discretionary"
"ABM";"Industrials"
"MOG-A";"Industrials"
"AIN";"Industrials"
"IBP";"Consumer Discretionary"
"INDB";"Financials"
"KLIC";"Information Technology"
"TPH";"Consumer Discretionary"
"DY";"Industrials"
"AVAV";"Industrials"
"DV";"Information Technology"
"PLXS";"Information Technology"
"IPAR";"Consumer Staples"
"KFY";"Industrials"
"KWR";"Materials"
"ITGR";"Health Care"
"BCC";"Industrials"
"REZI";"Industrials"
"HUBG";"Industrials"
"ARNC";"Materials"
"IOSP";"Materials"
"LXP";"Real Estate"
"AEL";"Financials"
"THS";"Consumer Staples"
"SONO";"Consumer Discretionary"
"SHOO";"Consumer Discretionary"
"PTEN";"Energy"
"CERT";"Health Care"
"CBU";"Financials"
"TNDM";"Health Care"
"WDFC";"Consumer Staples"
"NOG";"Energy"
"VSAT";"Information Technology"
"UNF";"Industrials"
"FHB";"Financials"
"PRGS";"Information Technology"
"ESE";"Industrials"
"SFBS";"Financials"
"ALRM";"Information Technology"
"BRC";"Industrials"
"CVCO";"Consumer Discretionary"
"AUB";"Financials"
"DORM";"Consumer Discretionary"
"OUT";"Real Estate"
"CBRL";"Consumer Discretionary"
"PRFT";"Information Technology"
"GMS";"Industrials"
"EXTR";"Information Technology"
"ITRI";"Information Technology"
"MATX";"Industrials"
"AEO";"Consumer Discretionary"
"KTB";"Consumer Discretionary"
"MTRN";"Materials"
"LGIH";"Consumer Discretionary"
"CRS";"Materials"
"MDC";"Consumer Discretionary"
"VRRM";"Industrials"
"GKOS";"Health Care"
"WSFS";"Financials"
"MXL";"Information Technology"
"ARCB";"Industrials"
"CPK";"Utilities"
"JJSF";"Consumer Staples"
"FTDR";"Consumer Discretionary"
"NUVA";"Health Care"
"EPC";"Consumer Staples"
"ABCB";"Financials"
"SITC";"Real Estate"
"BOOT";"Consumer Discretionary"
"FORM";"Information Technology"
"BLMN";"Consumer Discretionary"
"RXO";"Industrials"
"CALM";"Consumer Staples"
"FCPT";"Real Estate"
"EVTC";"Financials"
"KMT";"Industrials"
"PPBI";"Financials"
"SCL";"Materials"
"WD";"Financials"
"YELP";"Communication Services"
"SHO";"Real Estate"
"SFNC";"Financials"
"SJW";"Utilities"
"B";"Industrials"
"VIAV";"Information Technology"
"FBP";"Financials"
"SHAK";"Consumer Discretionary"
"NPO";"Industrials"
"STRA";"Consumer Discretionary"
"MYRG";"Industrials"
"CEIX";"Energy"
"NUS";"Consumer Staples"
"CVBF";"Financials"
"SKT";"Real Estate"
"HCC";"Materials"
"LUMN";"Communication Services"
"PCRX";"Health Care"
"GPRE";"Energy"
"CORT";"Health Care"
"AX";"Financials"
"KW";"Real Estate"
"SUPN";"Health Care"
"CTRE";"Real Estate"
"NEO";"Health Care"
"IDCC";"Information Technology"
"TRN";"Industrials"
"IIPR";"Real Estate"
"FFBC";"Financials"
"PEB";"Real Estate"
"PSMT";"Consumer Staples"
"NMIH";"Financials"
"MTX";"Materials"
"WAFD";"Financials"
"THRM";"Consumer Discretionary"
"NTCT";"Information Technology"
"PIPR";"Financials"
"VIR";"Health Care"
"SBCF";"Financials"
"SIX";"Consumer Discretionary"
"CPE";"Energy"
"ALG";"Industrials"
"CCS";"Consumer Discretionary"
"SNEX";"Financials"
"OII";"Energy"
"JACK";"Consumer Discretionary"
"WGO";"Consumer Discretionary"
"ATGE";"Consumer Discretionary"
"AIR";"Industrials"
"CRVL";"Health Care"
"BANR";"Financials"
"CNK";"Communication Services"
"SSTK";"Communication Services"
"MHO";"Consumer Discretionary"
"ADUS";"Health Care"
"MYGN";"Health Care"
"DRH";"Real Estate"
"ODP";"Consumer Discretionary"
"VGR";"Consumer Staples"
"XNCR";"Health Care"
"HLIT";"Information Technology"
"CPRX";"Health Care"
"UE";"Real Estate"
"HBI";"Consumer Discretionary"
"EAT";"Consumer Discretionary"
"COHU";"Information Technology"
"GVA";"Industrials"
"URBN";"Consumer Discretionary"
"AGYS";"Information Technology"
"VRTV";"Industrials"
"NWN";"Utilities"
"EMBC";"Health Care"
"ROIC";"Real Estate"
"LESL";"Consumer Discretionary"
"CSGS";"Industrials"
"AMPH";"Health Care"
"RNST";"Financials"
"EYE";"Consumer Discretionary"
"OSIS";"Information Technology"
"SVC";"Real Estate"
"OXM";"Consumer Discretionary"
"SLG";"Real Estate"
"INT";"Energy"
"CAKE";"Consumer Discretionary"
"AMEH";"Health Care"
"HAIN";"Consumer Staples"
"ELME";"Real Estate"
"LRN";"Consumer Discretionary"
"UNFI";"Consumer Staples"
"CENTA";"Consumer Staples"
"BKU";"Financials"
"PGTI";"Industrials"
"PRK";"Financials"
"ALGT";"Industrials"
"MEI";"Information Technology"
"CWK";"Real Estate"
"MGPI";"Consumer Staples"
"SBH";"Consumer Discretionary"
"KN";"Information Technology"
"RAMP";"Information Technology"
"TBBK";"Financials"
"XHR";"Real Estate"
"PATK";"Consumer Discretionary"
"MNRO";"Consumer Discretionary"
"ROCK";"Industrials"
"VSTO";"Consumer Discretionary"
"SLVM";"Materials"
"KAR";"Industrials"
"GFF";"Industrials"
"SMTC";"Information Technology"
"ENVA";"Financials"
"IRWD";"Health Care"
"PLAY";"Consumer Discretionary"
"IBTX";"Financials"
"PRAA";"Financials"
"VCEL";"Health Care"
"NWBI";"Financials"
"SXI";"Industrials"
"CTS";"Information Technology"
"TRMK";"Financials"
"LKFN";"Financials"
"EPAC";"Industrials"
"GTY";"Real Estate"
"BANF";"Financials"
"NBTB";"Financials"
"XPEL";"Consumer Discretionary"
"LTC";"Real Estate"
"JOE";"Real Estate"
"ALEX";"Real Estate"
"LNN";"Industrials"
"AVNS";"Health Care"
"BFH";"Financials"
"PARR";"Energy"
"JBGS";"Real Estate"
"UCTT";"Information Technology"
"MLKN";"Industrials"
"PLUS";"Information Technology"
"MSEX";"Utilities"
"RDNT";"Health Care"
"PFS";"Financials"
"UVV";"Consumer Staples"
"HMN";"Financials"
"MDRX";"Health Care"
"CHCO";"Financials"
"ANDE";"Consumer Staples"
"TWO";"Financials"
"HTH";"Financials"
"FBNC";"Financials"
"AROC";"Energy"
"USPH";"Health Care"
"WWW";"Consumer Discretionary"
"PLMR";"Financials"
"DVAX";"Health Care"
"SABR";"Consumer Discretionary"
"NEX";"Energy"
"TTMI";"Information Technology"
"VRTS";"Financials"
"DEA";"Real Estate"
"AKR";"Real Estate"
"TNC";"Industrials"
"TFIN";"Financials"
"TRUP";"Financials"
"PRG";"Financials"
"ANF";"Consumer Discretionary"
"LGND";"Health Care"
"VRE";"Real Estate"
"NBHC";"Financials"
"LZB";"Consumer Discretionary"
"CARS";"Communication Services"
"ARI";"Financials"
"ECPG";"Financials"
"PDFS";"Information Technology"
"FCF";"Financials"
"NVEE";"Industrials"
"SKYW";"Industrials"
"PACW";"Financials"
"DGII";"Information Technology"
"MD";"Health Care"
"HSKA";"Health Care"
"DDD";"Industrials"
"CDMO";"Health Care"
"UPBD";"Consumer Discretionary"
"DNOW";"Industrials"
"GNL";"Real Estate"
"MRTN";"Industrials"
"MATW";"Industrials"
"EIG";"Financials"
"PAYO";"Financials"
"MATV";"Materials"
"FIZZ";"Consumer Staples"
"OFG";"Financials"
"CASH";"Financials"
"CHEF";"Consumer Staples"
"HOPE";"Financials"
"APPS";"Information Technology"
"IRBT";"Consumer Discretionary"
"STBA";"Financials"
"STC";"Financials"
"SAFE";"Real Estate"
"WABC";"Financials"
"CMP";"Materials"
"SAFT";"Financials"
"CRNC";"Information Technology"
"BGS";"Consumer Staples"
"OMI";"Health Care"
"HLX";"Energy"
"DFIN";"Financials"
"WNC";"Industrials"
"ASIX";"Materials"
"HNI";"Industrials"
"HCSG";"Industrials"
"TDS";"Communication Services"
"AVTA";"Financials"
"KALU";"Materials"
"NBR";"Energy"
"MED";"Consumer Staples"
"AVID";"Information Technology"
"PMT";"Financials"
"SCHL";"Communication Services"
"CXW";"Industrials"
"DIN";"Consumer Discretionary"
"CLB";"Energy"
"STEL";"Financials"
"FBK";"Financials"
"RGR";"Consumer Discretionary"
"BKE";"Consumer Discretionary"
"CRK";"Energy"
"GRBK";"Consumer Discretionary"
"LMAT";"Health Care"
"FBRT";"Financials"
"BHLB";"Financials"
"MCRI";"Consumer Discretionary"
"RC";"Financials"
"AMSF";"Financials"
"PRA";"Financials"
"HRMY";"Health Care"
"NXRT";"Real Estate"
"SHEN";"Communication Services"
"DRQ";"Energy"
"VECO";"Information Technology"
"AZZ";"Industrials"
"MODV";"Health Care"
"GEO";"Industrials"
"VBTX";"Financials"
"RCUS";"Health Care"
"APOG";"Industrials"
"GBX";"Industrials"
"MBC";"Industrials"
"SBSI";"Financials"
"EGBN";"Financials"
"TALO";"Energy"
"SLCA";"Energy"
"TTGT";"Communication Services"
"ASTE";"Industrials"
"PLAB";"Information Technology"
"ATEN";"Information Technology"
"GDEN";"Consumer Discretionary"
"NXGN";"Health Care"
"AAT";"Real Estate"
"UTL";"Utilities"
"NYMT";"Financials"
"FDP";"Consumer Staples"
"BRKL";"Financials"
"GOGO";"Communication Services"
"NABL";"Information Technology"
"JBSS";"Consumer Staples"
"AHCO";"Health Care"
"SAH";"Consumer Discretionary"
"PRDO";"Consumer Discretionary"
"AXL";"Consumer Discretionary"
"SPTN";"Consumer Staples"
"ADEA";"Information Technology"
"AMWD";"Industrials"
"CHCT";"Real Estate"
"CSR";"Real Estate"
"CSII";"Health Care"
"VTLE";"Energy"
"ARR";"Financials"
"CFFN";"Financials"
"CVI";"Energy"
"MLAB";"Health Care"
"TR";"Consumer Staples"
"ROCC";"Energy"
"ICHR";"Information Technology"
"UNIT";"Real Estate"
"CCRN";"Health Care"
"HWKN";"Materials"
"PRLB";"Industrials"
"MCY";"Financials"
"AHH";"Real Estate"
"SPNT";"Financials"
"GDOT";"Financials"
"QURE";"Health Care"
"RPT";"Real Estate"
"SGH";"Information Technology"
"MMI";"Real Estate"
"BHE";"Information Technology"
"CAL";"Consumer Discretionary"
"COLL";"Health Care"
"EFC";"Financials"
"BSIG";"Financials"
"RWT";"Financials"
"TMP";"Financials"
"HIBB";"Consumer Discretionary"
"SCSC";"Information Technology"
"ENTA";"Health Care"
"MYE";"Materials"
"INN";"Real Estate"
"HTLD";"Industrials"
"SXC";"Materials"
"WT";"Financials"
"TMST";"Materials"
"HPP";"Real Estate"
"TGI";"Industrials"
"JRVR";"Financials"
"INVA";"Health Care"
"KOP";"Materials"
"LPG";"Energy"
"BDN";"Real Estate"
"VREX";"Health Care"
"USNA";"Consumer Staples"
"RGNX";"Health Care"
"CRSR";"Information Technology"
"TSE";"Materials"
"THRY";"Communication Services"
"GIII";"Consumer Discretionary"
"ADTN";"Information Technology"
"NX";"Industrials"
"AMBC";"Financials"
"MCW";"Consumer Discretionary"
"SLP";"Health Care"
"PUMP";"Energy"
"SMP";"Consumer Discretionary"
"CHS";"Consumer Discretionary"
"BLFS";"Health Care"
"TTEC";"Industrials"
"HFWA";"Financials"
"CCSI";"Information Technology"
"BJRI";"Consumer Discretionary"
"DCOM";"Financials"
"PFBC";"Financials"
"DLX";"Industrials"
"KREF";"Financials"
"HOUS";"Real Estate"
"CEVA";"Information Technology"
"HSTM";"Health Care"
"QNST";"Communication Services"
"BANC";"Financials"
"RES";"Energy"
"HAYN";"Materials"
"OSPN";"Information Technology"
"KAMN";"Industrials"
"CYH";"Health Care"
"HZO";"Consumer Discretionary"
"OFIX";"Health Care"
"ETD";"Consumer Discretionary"
"CHUY";"Consumer Discretionary"
"PBI";"Industrials"
"EHAB";"Health Care"
"SNCY";"Industrials"
"GES";"Consumer Discretionary"
"TBI";"Industrials"
"UHT";"Real Estate"
"UFCS";"Financials"
"FLGT";"Health Care"
"ARLO";"Information Technology"
"AVD";"Materials"
"CIR";"Industrials"
"AOSL";"Information Technology"
"SNBR";"Consumer Discretionary"
"HSII";"Industrials"
"KELYA";"Industrials"
"CLFD";"Information Technology"
"TRST";"Financials"
"TWI";"Industrials"
"CLW";"Materials"
"UVE";"Financials"
"HAFC";"Financials"
"HSC";"Industrials"
"AGTI";"Health Care"
"IIIN";"Industrials"
"CUBI";"Financials"
"AORT";"Health Care"
"CHRS";"Health Care"
"VTOL";"Energy"
"SSP";"Communication Services"
"CNXN";"Information Technology"
"OIS";"Energy"
"CLDT";"Real Estate"
"CVGW";"Consumer Staples"
"AMCX";"Communication Services"
"ZEUS";"Materials"
"NTGR";"Information Technology"
"CENX";"Materials"
"UBA";"Real Estate"
"OSUR";"Health Care"
"RUTH";"Consumer Discretionary"
"RGP";"Industrials"
"RILY";"Financials"
"EBS";"Health Care"
"EZPW";"Financials"
"CRMT";"Consumer Discretionary"
"BFS";"Real Estate"
"FARO";"Information Technology"
"ANIP";"Health Care"
"NFBK";"Financials"
"TILE";"Industrials"
"DBI";"Consumer Discretionary"
"CPF";"Financials"
"REX";"Energy"
"MCS";"Communication Services"
"HA";"Industrials"
"CUTR";"Health Care"
"GCO";"Consumer Discretionary"
"HVT";"Consumer Discretionary"
"XPER";"Information Technology"
"WSR";"Real Estate"
"EBIX";"Information Technology"
"ATNI";"Communication Services"
"CPSI";"Health Care"
"EGHT";"Information Technology"
"MOV";"Consumer Discretionary"
"SCVL";"Consumer Discretionary"
"DXPE";"Industrials"
"ANIK";"Health Care"
"PLCE";"Consumer Discretionary"
"VVI";"Industrials"
"CENT";"Consumer Staples"
"POWL";"Industrials"
"FORR";"Industrials"
"MERC";"Materials"
"IVR";"Financials"
"LPSN";"Information Technology"
"RYAM";"Materials"
"ONL";"Real Estate"
"BOOM";"Energy"
"VNDA";"Health Care"
"NPK";"Industrials"
"OPI";"Real Estate"
"ITOS";"Health Care"
"HCI";"Financials"
"RMAX";"Real Estate"
"ANGO";"Health Care"
"PAHC";"Health Care"
"HMST";"Financials"
"AAN";"Consumer Discretionary"
"PETS";"Consumer Discretionary"
"CMTL";"Information Technology"
"LQDT";"Industrials"
"BIG";"Consumer Discretionary"
"INGN";"Health Care"
"EGRX";"Health Care"
"ZUMZ";"Consumer Discretionary"
"WRLD";"Financials"
"CNSL";"Communication Services"
"GCI";"Communication Services"
"SENEA";"Consumer Staples"
"TREE";"Financials"
"ZYXI";"Health Care"
"TG";"Materials"
"DOUG";"Real Estate"
"FF";"Materials"
"CARA";"Health Care"
"LOCO";"Consumer Discretionary"
